"ID_Word";"PalabraAcento";"Palabra";"Code";"Frase"
1;"Inés";"Ines";1;
2;"canción";"cancion";1;
3;"gané";"gane";1;
4;"comí";"comi";1;
5;"allá";"alla";1;
6;"Raúl";"Raul";2;
7;"maíz";"maiz";2;
8;"sonreír";"sonreir";2;
9;"carácter";"caracter";3;
10;"hábil";"habil";3;
11;"lápiz";"lapiz";3;
12;"mío";"mio";4;
13;"correrías";"correrias";4;
14;"sabían";"sabian";4;
15;"bíceps";"biceps";5;
16;"tríceps";"triceps";5;
17;"óleo";"oleo";6;
18;"mecánico";"mecanico";6;
19;"páguemelo";"paguemelo";6;
20;"él / el";;7;
21;"más / mas";;7;
22;"sí / si";;7;
23;"dé / de";;7;
24;"mí / mi";;7;
25;"té / te";;7;
26;"tú / tu";;7;
27;"sé / se";;7;
28;"éste / este";;7;
29;"aún / aun";;7;
30;"sólo / solo";;7;
31;"auténtico";"autentico";6;
32;"sector turístico";"sector turistico";6;
33;"demás";"demas";1;
34;"vorágine";"vorágine";6;"Algunas de estas empresas se han embarcado en una especie de vorágine de crecimiento..."
35;"símbolo";"simbolo";6;
36;"éstas";"estas";7;"Si hace 4 años algunas de éstas eran medianías que no facturaban por encima de los 30.000 millones de pesetas..."
37;"medianía";"mediania";4;
38;"situarán";"situaran";1;"se situaran may cerca de los 7000 millones..."
39;"dimensión";"dimension";1;
40;"están";"estan";1;"los grupos que estan mostrando resultados más espectaculares..."
41;"convirtiéndose";"convirtiendose";6;
42;"situó";"situo";1;
43;"éstos";"estos";7;"A estos habría que añadir otro grupo diversificado como...."
44;"empezó";"empezo";1;
45;"prevé";"preve";1;
46;"límite";"limite";6;
47;"superarán";"superaran";1;
48;"vendió";"vendio";1;
49;"días";"dias";4;"En los primeros dias"
50;"adquiriría";"adquiriria";4;
51;"aumentó";"aumento";1;"La división aumento sus ingresos un 21% en 1995"
52;"línea aérea";"linea aerea";6;
